Timestamp,SF_Level,Game_No,Color,Result,Win,Draw,Loss
2025-12-10 17:48:20,8,41,White,-1,0,0,1
2025-12-10 17:51:26,8,42,Black,-1,0,0,1
2025-12-10 17:53:31,8,43,White,-1,0,0,1
2025-12-10 17:56:20,8,44,Black,-1,0,0,1
2025-12-10 17:58:27,8,45,White,-1,0,0,1
2025-12-10 18:00:38,8,46,Black,0,0,1,0
2025-12-10 18:03:38,8,47,White,-1,0,0,1
2025-12-10 18:05:56,8,48,Black,-1,0,0,1
2025-12-10 18:09:12,8,49,White,-1,0,0,1
2025-12-10 18:14:36,8,50,Black,1,1,0,0
